,Date,sentiment_score
0,2021-02-01,0.09775544749572873
1,2021-02-02,-0.012791584827937186
2,2021-02-03,0.3358627149524788
3,2021-02-04,0.13387547549791634
4,2021-02-05,0.1351165899541229
5,2021-02-08,-0.18251434061676264
6,2021-02-09,0.10771869417900841
7,2021-02-10,0.26748818152451087
8,2021-02-11,0.2804492878106733
9,2021-02-12,-0.0015489584766328335
10,2021-02-15,0.30741025949828327
11,2021-02-16,-0.20817921860143543
12,2021-02-17,-0.14903244158873954
13,2021-02-18,-0.14955351874232292
14,2021-02-19,-0.015574157470837235
15,2021-02-22,0.05568603239953518
16,2021-02-23,0.1368060503154993
17,2021-02-24,-0.06437809555791318
18,2021-02-25,0.07302318247301239
19,2021-02-26,-0.056481606947878994
20,2021-03-01,0.11592858125056539
21,2021-03-02,-0.1213024870492518
22,2021-03-03,-0.25652575434651226
23,2021-03-04,0.1229819618165493
24,2021-03-05,-0.1455482334519426
25,2021-03-08,0.005911679659038782
26,2021-03-09,-0.136125384674718
27,2021-03-10,-0.1772068270171682
28,2021-03-11,-0.0065624342144777375
29,2021-03-12,-0.15157958189956844
30,2021-03-15,0.07927666566419331
31,2021-03-16,0.11483441898599267
32,2021-03-17,-0.21711923880502582
33,2021-03-18,0.1650858886539936
34,2021-03-19,-0.17187266238033772
35,2021-03-22,-0.29875448858365417
36,2021-03-23,-0.008055725134909153
37,2021-03-24,0.10247551975771785
38,2021-03-25,-0.1029227099691828
39,2021-03-26,-0.13159416220150888
40,2021-03-29,-0.01593311207502016
41,2021-03-30,0.14296009005712612
42,2021-03-31,-0.03863628744147718
43,2021-04-01,-0.005017989035695791
44,2021-04-02,-0.17127708531916142
45,2021-04-05,0.07482214336050674
46,2021-04-06,0.20735800561184684
47,2021-04-07,0.025651428499259055
48,2021-04-08,-0.1305794179705637
49,2021-04-09,-0.012426540721207857
50,2021-04-12,0.21968403179198503
51,2021-04-13,-0.11382850166410208
52,2021-04-14,-0.4630740175489336
53,2021-04-15,-0.05488389551949998
54,2021-04-16,-0.22759215735519925
55,2021-04-19,-0.08828457060735673
56,2021-04-20,-0.11328143566580755
57,2021-04-21,0.07669326663017273
58,2021-04-22,0.02161110784592373
59,2021-04-23,0.16133934538811445
60,2021-04-26,-0.1570273779798299
61,2021-04-27,0.005781687796115875
62,2021-04-28,-0.07876879908144474
63,2021-04-29,-0.048355990244696535
64,2021-04-30,0.006912789307534695
65,2021-05-03,-0.13608180452138186
66,2021-05-04,0.0002900143153965473
67,2021-05-05,-0.11246526334434748
68,2021-05-06,-0.09680737741291523
69,2021-05-07,-0.21951550217345356
70,2021-05-10,0.07995986631140113
71,2021-05-11,0.02837298985105008
72,2021-05-12,0.07981615455355495
73,2021-05-13,0.07547437306493521
74,2021-05-14,-0.06877196487039328
75,2021-05-17,0.008170486261535968
76,2021-05-18,-0.014867561170831323
77,2021-05-19,0.2529673834020893
78,2021-05-20,-0.009251715615391731
79,2021-05-21,-0.11297240729133289
80,2021-05-24,0.13690980180399492
81,2021-05-25,-0.09887482889462262
82,2021-05-26,0.2568723965669051
83,2021-05-27,0.0961937780957669
84,2021-05-28,-0.1629848782904446
85,2021-05-31,0.0031239038022855916
86,2021-06-01,-0.025402844935241673
87,2021-06-02,0.18028812371194364
88,2021-06-03,0.23340437343964973
89,2021-06-04,0.1676605148240924
90,2021-06-07,0.09292982187536028
91,2021-06-08,-0.10252720713615418
92,2021-06-09,-0.06703260415233672
93,2021-06-10,0.0537869893014431
94,2021-06-11,0.1615739039455851
95,2021-06-14,-0.008997416542842984
96,2021-06-15,-0.042026672201852
97,2021-06-16,-0.008055725134909153
98,2021-06-17,0.07843388640321791
99,2021-06-18,0.10108279186533764
100,2021-06-21,0.10030047092586755
101,2021-06-22,0.11555091620215939
102,2021-06-23,0.12583968753460795
103,2021-06-24,0.1414929577482066
104,2021-06-25,-0.054552399553358555
105,2021-06-28,0.03942240681499243
106,2021-06-29,0.06945952540263534
107,2021-06-30,0.09276657621376216
108,2021-07-01,-0.05621738499030471
109,2021-07-02,-0.10047515062615275
110,2021-07-05,-0.1508217053487897
111,2021-07-06,0.08158579654991627
112,2021-07-07,0.15976296574808657
113,2021-07-08,0.20284587563946843
114,2021-07-09,-0.02263714373111725
115,2021-07-12,-0.20337550980704172
116,2021-07-13,0.1197157078422606
117,2021-07-14,0.0462231794372201
118,2021-07-15,0.2550566040445119
119,2021-07-16,-0.049514603069318194
120,2021-07-19,-0.04887582152150571
121,2021-07-20,-0.05833473021630198
122,2021-07-21,0.20170094417408108
123,2021-07-22,0.052198113252719246
124,2021-07-23,0.15473020107795796
125,2021-07-26,0.39720585220493376
126,2021-07-27,0.033901033969596026
127,2021-07-28,-0.20052808367957672
128,2021-07-29,-0.23839004314504564
129,2021-07-30,-0.27587900978202623
130,2021-08-02,-0.024360037874430418
131,2021-08-03,-0.0274530709721148
132,2021-08-04,-0.08699820190668106
133,2021-08-05,0.11313324514776468
134,2021-08-06,-0.23321987327653915
135,2021-08-09,0.018401752070834238
136,2021-08-10,-0.46433611144311726
137,2021-08-11,-0.018213424210747082
138,2021-08-12,0.17689693486317992
139,2021-08-13,-0.06320570223033428
140,2021-08-16,0.012166474081043686
141,2021-08-17,-0.008055725134909153
142,2021-08-20,0.44067715108394623
143,2021-08-23,-0.02810588786378503
144,2021-08-24,-0.008055725134909153
145,2021-08-25,-0.2306762768421322
146,2021-08-26,-0.06937720626592636
147,2021-08-27,-0.22469245037063956
148,2021-08-30,0.013493931852281094
149,2021-09-01,0.12213365035131574
